Company Name,City ,State,Latitude,Longitude,Total Assets,Loan Growth Rate,OREO,Reserve / Loans,Past Due 30-89 Days,NPAs + 90 Day PDs,Net Charge Offs,Net Income 2023
Adrian Bank,Adrian,Missouri,38.397518,-94.3516159,177039.0,0.1066,0.0,0.0126,0.0017,0.0013,0.0004,3163.0
The Bank of Advance,Advance,Missouri,37.1044958,-89.9106494,489778.0,0.0787,115.0,0.0143,0.0077,0.0046,0.0008,9440.0
Peoples Bank of Altenburg,Altenburg,Missouri,37.6308839,-89.5853764,85212.0,0.0706,0.0,0.0132,0.0013,0.0,0.0,1180.0
Alton Bank,Alton,Missouri,36.6942252,-91.3993039,115694.0,0.0049,0.0,0.0116,0.0135,0.0037,-0.0004,-226.0
First Independent Bank,Aurora,Missouri,36.970891,-93.717979,128452.0,0.084,253.0,0.0133,0.0189,0.0025,0.0004,726.0
Belgrade State Bank,Belgrade,Missouri,37.7867146,-90.8492967,430233.0,0.1074,255.0,0.0116,0.0062,0.0011,0.0028,6021.0
BTC Bank,Bethany,Missouri,40.2683344,-94.0282861,1153145.0,0.2169,0.0,0.0101,0.0085,0.0023,0.0001,11040.0
Bank of Billings,Billings,Missouri,37.0675544,-93.5521411,83794.0,-0.029,0.0,0.0115,0.0214,0.0137,-0.0001,1128.0
Bloomsdale Bank,Bloomsdale,Missouri,38.0094981,-90.2178964,325644.0,0.1454,0.0,0.0093,0.001,0.0027,0.0012,4732.0
America's Community Bank,Blue Springs,Missouri,39.0169509,-94.2816148,42246.0,0.0647,0.0,0.0107,0.0,0.0,0.0055,498.0
Limebank,Bolivar,Missouri,37.6144838,-93.4104749,107511.0,0.276,0.0,0.0129,0.0073,0.0005,0.0,1622.0
Community State Bank of Missouri,Bowling Green,Missouri,39.3419891,-91.1951437,301949.0,0.0565,0.0,0.0088,0.0093,0.0092,-0.0002,3227.0
Branson Bank,Branson,Missouri,36.6436731,-93.2185144,351416.0,0.1313,0.0,0.011,0.0003,0.0001,0.0002,3821.0
First Community  Bank of the Ozarks,Branson,Missouri,36.6436731,-93.2185144,174965.0,0.2536,0.0,0.0102,0.0001,0.0002,-0.0002,789.0
Pony Express Bank,Braymer,Missouri,39.5869582,-93.796047,383817.0,0.0874,0.0,0.0124,0.0021,0.0014,0.0001,8910.0
"Bank of Brookfield - Purdin, National Association",Brookfield,Missouri,39.7844687,-93.0735348,107461.0,-0.0629,0.0,0.0178,0.0015,0.0,0.0,666.0
Verimore Bank,Brookfield,Missouri,39.7844687,-93.0735348,446105.0,0.0425,0.0,0.0128,0.0033,0.0001,0.0001,7325.0
County Bank,Brunswick,Missouri,39.4233576,-93.1304782,118163.0,0.0418,0.0,0.0142,0.0,0.0,0.0001,1636.0
O'Bannon Banking Company,Buffalo,Missouri,37.6439289,-93.0924093,278904.0,0.1047,0.0,0.0095,0.0063,0.002,0.0004,2452.0
Citizens Bank,Butler,Missouri,38.2586347,-94.3305059,190578.0,0.0396,516.0,0.011,0.0031,0.0041,0.0003,4078.0
Community First Bank,Butler,Missouri,38.2586347,-94.3305059,252835.0,0.125,0.0,0.0163,0.0052,0.0111,0.0013,5852.0
Farmers State Bank,Cameron,Missouri,39.7402801,-94.241057,384880.0,0.074,0.0,0.0061,0.0055,0.0018,0.0001,3358.0
Alliance Bank,Cape Girardeau,Missouri,37.3058839,-89.5181476,367405.0,0.0808,0.0,0.0143,0.0055,0.0014,0.0001,4929.0
First Missouri State Bank of Cape County,Cape Girardeau,Missouri,37.3058839,-89.5181476,201972.0,0.0138,104.0,0.0128,0.0015,0.0012,-0.0001,2260.0
Bank 21,Carrollton,Missouri,39.3583539,-93.4957675,167534.0,0.0349,0.0,0.0149,0.0138,0.0243,0.0,2820.0
"Carroll County Trust Company of Carrollton, Missouri",Carrollton,Missouri,39.3583539,-93.4957675,214219.0,0.0405,0.0,0.0136,0.0166,0.0016,-0.0001,891.0
Southwest Missouri Bank,Carthage,Missouri,37.176447,-94.3102228,1134843.0,0.0417,50.0,0.0109,0.0064,0.0013,0.0001,6372.0
"First State Bank and Trust Company, Inc.",Caruthersville,Missouri,36.1931245,-89.6556353,596048.0,0.0886,650.0,0.0115,0.0059,0.0122,0.0011,10494.0
Freedom Bank of Southern Missouri,Cassville,Missouri,36.6789257,-93.8680755,633871.0,0.1462,0.0,0.009,0.0042,0.0027,0.0,7311.0
Security Bank of Southwest Missouri,Cassville,Missouri,36.6789257,-93.8680755,119204.0,0.1069,0.0,0.0113,0.0351,0.0048,-0.0001,2784.0
Citizens' Bank of Charleston,Charleston,Missouri,36.9208854,-89.350631,173663.0,0.0947,0.0,0.0145,0.004,0.003,0.0001,3875.0
Focus Bank,Charleston,Missouri,36.9208854,-89.350631,817675.0,0.0284,1038.0,0.0104,0.0096,0.0028,0.0007,11038.0
Chillicothe State Bank,Chillicothe,Missouri,39.7952946,-93.5524358,143674.0,0.0219,0.0,0.0165,0.0066,0.0041,0.0002,1033.0
Investors Community Bank,Chillicothe,Missouri,39.7952946,-93.5524358,90492.0,0.2296,42.0,0.0133,0.0107,0.0013,0.0009,715.0
Neighbors Bank,Clarence,Missouri,39.7419808,-92.2585152,68390.0,0.4977,267.0,0.0047,0.0056,0.0074,0.0001,-4487.0
Enterprise Bank & Trust,Clayton,Missouri,38.6425518,-90.3237263,14487768.0,0.1196,5736.0,0.0124,0.0012,0.0042,0.0037,203768.0
M1 Bank,Clayton,Missouri,38.6425518,-90.3237263,963804.0,0.2482,0.0,0.008,0.0,0.0,0.0,19669.0
Midwest Regional Bank,Clayton,Missouri,38.6425518,-90.3237263,993966.0,0.1484,550.0,0.012,0.0061,0.0038,0.004,9373.0
Parkside Financial Bank & Trust,Clayton,Missouri,38.6425518,-90.3237263,951302.0,0.1954,0.0,0.0165,0.0,0.0,0.0025,6868.0
The Citizens-Farmers Bank of Cole Camp,Cole Camp,Missouri,38.4600212,-93.2027036,181462.0,0.0596,25.0,0.0137,0.019,0.0064,0.0011,2187.0
"Concordia Bank of Concordia, Missouri",Concordia,Missouri,38.9833489,-93.5685464,108760.0,0.1678,0.0,0.0115,0.0037,0.0002,0.0002,1146.0
State Bank of Missouri,Concordia,Missouri,38.9833489,-93.5685464,146131.0,0.0885,71.0,0.0101,0.0156,0.0111,0.0013,1225.0
Sherwood Community Bank,Creighton,Missouri,38.4947378,-94.0732758,80126.0,0.3084,0.0,0.0086,0.0321,0.0039,0.0001,308.0
First Bank,Creve Coeur,Missouri,38.6608855,-90.422618,6554829.0,0.1519,30.0,0.0112,0.0016,0.0012,-0.0008,18205.0
Peoples Bank,Cuba,Missouri,38.0628225,-91.4034833,254582.0,0.0078,0.0,0.0119,0.0017,0.0031,0.0005,3622.0
Cass Commercial Bank,Des Peres,Missouri,38.6008862,-90.4328968,1514367.0,-0.0645,0.0,0.0131,0.0,0.0,0.0,26757.0
First Midwest Bank of Dexter,Dexter,Missouri,36.7958866,-89.9578688,527680.0,0.0676,0.0,0.0098,0.0028,0.0015,0.0002,5766.0
The Citizens Bank of Edina,Edina,Missouri,40.1675386,-92.1726821,97493.0,0.0978,0.0,0.0139,0.0029,0.0001,0.0008,2166.0
Community Bank of El Dorado Springs,El Dorado Springs,Missouri,37.8769799,-94.0213303,124299.0,0.2377,0.0,0.0122,0.0007,0.0017,0.0,2546.0
Citizens Bank of Eldon,Eldon,Missouri,38.3483636,-92.5815759,221393.0,0.1179,0.0,0.0132,0.0166,0.0078,0.0018,2431.0
Security Bank of the Ozarks,Eminence,Missouri,37.1506044,-91.357635,143007.0,0.0554,660.0,0.0106,0.0223,0.0062,0.0015,2058.0
First State Community Bank,Farmington,Missouri,37.7808846,-90.4217895,3977265.0,0.068,95.0,0.0092,0.0037,0.0018,0.0003,58757.0
Ozarks Federal Savings and Loan Association,Farmington,Missouri,37.7808846,-90.4217895,260069.0,0.1538,0.0,0.0092,0.005,0.0101,0.0,282.0
Commercial Trust Company of Fayette,Fayette,Missouri,39.1458654,-92.6837943,151649.0,-0.0339,0.0,0.0116,0.0034,0.0051,0.001,1911.0
Exchange Bank of Missouri,Fayette,Missouri,39.1458654,-92.6837943,348798.0,0.1557,0.0,0.0107,0.0165,0.0001,0.0004,1908.0
New Era Bank,Fredericktown,Missouri,37.5597754,-90.2940069,411086.0,0.026,0.0,0.0094,0.0063,0.0005,0.0002,7806.0
Triad Bank,Frontenac,Missouri,38.6404261,-90.4154109,833840.0,0.1613,441.0,0.017,0.0,0.0021,0.0007,11504.0
The Callaway Bank,Fulton,Missouri,38.8467082,-91.9479586,475157.0,0.0319,0.0,0.0104,0.0022,0.0032,0.0001,2402.0
United Security Bank,Fulton,Missouri,38.8467082,-91.9479586,90342.0,0.1227,0.0,0.0149,0.0059,0.0,-0.0014,802.0
Century Bank of the Ozarks,Gainesville,Missouri,36.6031184,-92.428217,262778.0,0.0452,0.0,0.0174,0.0062,0.0125,0.0015,8273.0
Tri-County Trust Company,Glasgow,Missouri,39.2272513,-92.8465757,62872.0,0.087,0.0,0.017,0.0191,0.0026,0.0004,924.0
The Bank of Grain Valley,Grain Valley,Missouri,39.0150069,-94.198558,111590.0,-0.0242,0.0,0.0144,0.0,0.0,0.0,2249.0
Bank of Grandin,Grandin,Missouri,36.8292209,-90.8229006,214559.0,0.0753,221.0,0.0113,0.0145,0.0042,0.0023,1263.0
"North American Savings Bank, F.S.B.",Grandview,Missouri,38.8858407,-94.5330096,2750302.0,-0.0183,7488.0,0.0141,0.0104,0.0091,0.0,26080.0
farmbank,Green City,Missouri,40.2686321,-92.9532612,77771.0,-0.0263,0.0,0.0124,0.0058,0.0051,0.0048,112.0
Peoples Community Bank,Greenville,Missouri,37.127274,-90.4501137,661354.0,0.0185,0.0,0.0111,0.0178,0.0077,0.0018,15383.0
Bank Northwest,Hamilton,Missouri,39.7436184,-93.9982743,210959.0,0.1459,0.0,0.009,0.0027,0.0014,-0.0001,5456.0
The Hamilton Bank,Hamilton,Missouri,39.7436184,-93.9982743,102953.0,0.0567,0.0,0.006,0.0118,0.0042,0.0,1376.0
F&M Bank and Trust Company,Hannibal,Missouri,39.7083789,-91.3584816,180174.0,0.1575,241.0,0.0122,0.0004,0.0017,0.0005,1047.0
HNB National Bank,Hannibal,Missouri,39.7083789,-91.3584816,872446.0,0.3583,0.0,0.0105,0.002,0.0011,-0.0001,14871.0
Paramount Bank,Hazelwood,Missouri,38.7714396,-90.3709489,94248.0,0.0323,1039.0,0.0118,0.0032,0.0627,0.0,-3204.0
F & C Bank,Holden,Missouri,38.7141778,-93.9913303,367752.0,0.1557,0.0,0.0136,0.0087,0.0006,0.0002,8173.0
The Bank of Houston,Houston,Missouri,37.3261588,-91.955988,60320.0,0.1355,0.0,0.035,0.0,0.0022,0.0,438.0
Bank of Iberia,Iberia,Missouri,38.0903154,-92.2926747,66327.0,0.0623,0.0,0.0132,0.0166,0.004,0.0003,386.0
Blue Ridge Bank and Trust Co.,Independence,Missouri,39.0911161,-94.4155068,814293.0,0.1191,0.0,0.0151,0.0013,0.0013,0.0024,6210.0
Peoples Bank of Moniteau County,Jamestown,Missouri,38.7655869,-92.4807447,70435.0,0.0572,0.0,0.0145,0.0042,0.0079,0.0009,755.0
"Farmers Bank of Lohman, Missouri",Jefferson City,Missouri,38.5767017,-92.1735164,74497.0,0.0243,170.0,0.0085,0.0034,0.0023,0.0002,615.0
Hawthorn Bank,Jefferson City,Missouri,38.5767017,-92.1735164,1867686.0,0.0087,932.0,0.0154,0.0023,0.0039,0.0002,4567.0
Mid America Bank,Jefferson City,Missouri,38.5767017,-92.1735164,958520.0,-0.002,0.0,0.0108,0.0022,0.0018,0.0003,16081.0
Midwest Independent BankersBank,Jefferson City,Missouri,38.5767017,-92.1735164,316931.0,0.0617,0.0,0.0231,0.0,0.0,-0.0004,2921.0
The Central Trust Bank,Jefferson City,Missouri,38.5767017,-92.1735164,19000390.0,0.0237,4344.0,0.0135,0.0028,0.0013,0.0012,243230.0
Jonesburg State Bank,Jonesburg,Missouri,38.8533773,-91.3059895,131417.0,0.0949,0.0,0.0113,0.0,0.0,0.0001,2166.0
Exchange Bank of Northeast Missouri,Kahoka,Missouri,40.4203184,-91.7196088,222229.0,0.0686,0.0,0.0134,0.0042,0.02,0.0,2757.0
Kahoka State Bank,Kahoka,Missouri,40.4203184,-91.7196088,61782.0,-0.0632,0.0,0.0148,0.0425,0.0151,0.0049,117.0
"Peoples Bank of Wyaconda, Missouri",Kahoka,Missouri,40.4203184,-91.7196088,135226.0,0.0729,148.0,0.0194,0.0091,0.002,0.0,944.0
"Academy Bank, National Association",Kansas City,Missouri,39.0997265,-94.5785667,2602411.0,0.0621,436.0,0.0139,0.0015,0.0085,0.0014,25218.0
Central Bank of Kansas City,Kansas City,Missouri,39.0997265,-94.5785667,387790.0,0.199,0.0,0.0128,0.0014,0.0,-0.0001,14205.0
Commerce Bank,Kansas City,Missouri,39.0997265,-94.5785667,31504301.0,0.055,1307.0,0.0094,0.0056,0.001,0.0019,458263.0
Country Club Bank,Kansas City,Missouri,39.0997265,-94.5785667,2197073.0,0.0172,1714.0,0.0122,0.0024,0.0061,0.0008,25335.0
Lead Bank,Kansas City,Missouri,39.0997265,-94.5785667,935862.0,0.1214,800.0,0.005,0.0612,0.016,0.0032,17037.0
"UMB Bank, National Association",Kansas City,Missouri,39.0997265,-94.5785667,43729953.0,0.1015,1738.0,0.0095,0.0005,0.0004,0.0005,348973.0
Kearney Trust Company,Kearney,Missouri,39.3677802,-94.3621703,291069.0,0.0904,0.0,0.0146,0.0044,0.001,0.0003,4222.0
First Missouri Bank of SEMO,Kennett,Missouri,36.2361762,-90.0556493,217179.0,0.0829,0.0,0.0206,0.003,0.0062,-0.0003,9102.0
Kennett Trust Bank,Kennett,Missouri,36.2361762,-90.0556493,132119.0,-0.0333,0.0,0.0102,0.0385,0.0021,0.0008,706.0
Table Rock Community Bank,Kimberling City,Missouri,36.6333962,-93.4168531,165568.0,0.1649,0.0,0.0111,0.0268,0.0,0.0005,2352.0
Bank of Kirksville,Kirksville,Missouri,40.1947539,-92.5832496,407398.0,-0.0724,0.0,0.0156,0.003,0.0004,-0.0002,5902.0
Northeast Missouri State Bank,Kirksville,Missouri,40.1947539,-92.5832496,136392.0,0.0674,0.0,0.0145,0.0035,0.0002,-0.0002,1151.0
Lamar Bank and Trust Company,Lamar,Missouri,37.4950478,-94.2766148,241569.0,-0.0021,0.0,0.012,0.0005,0.0009,0.0001,4445.0
Goppert Financial Bank,Lathrop,Missouri,39.5483354,-94.3299461,257801.0,0.1378,0.0,0.0103,0.0,0.0,0.0,3176.0
Heritage Bank of the Ozarks,Lebanon,Missouri,37.6805967,-92.6637865,315978.0,0.1707,117.0,0.011,0.0049,0.0038,0.0002,2535.0
First Federal Bank of Kansas City,Lees Summit,Missouri,38.9108408,-94.3821724,960134.0,-0.013,690.0,0.0244,0.0075,0.0057,0.0138,564.0
Midwest BankCentre,Lemay,Missouri,38.5334425,-90.2871298,2753012.0,0.0527,560.0,0.0132,0.0094,0.0044,0.0025,26610.0
United State Bank,Lewistown,Missouri,40.086154,-91.8132225,269388.0,0.0496,5.0,0.0141,0.0039,0.0002,-0.0003,4346.0
Clay County Savings Bank,Liberty,Missouri,39.2461138,-94.4191177,152422.0,0.0424,0.0,0.0111,0.0008,0.0012,0.0012,16.0
Legends Bank,Linn,Missouri,38.4858749,-91.8504515,514016.0,0.1015,0.0,0.0116,0.008,0.0032,0.0003,8934.0
