Company Name,City ,State,Latitude,Longitude,Total Assets,Loan Growth Rate,OREO,Reserve / Loans,Past Due 30-89 Days,NPAs + 90 Day PDs,Net Charge Offs,Net Income 2023
MA Bank,Macon,Missouri,39.7422561,-92.4726859,354362.0,0.0382,0.0,0.014,0.0068,0.0014,0.0005,3542.0
Alliant Bank,Madison,Missouri,39.4736487,-92.2098988,203635.0,0.0055,0.0,0.0127,0.0013,0.0009,0.0,2560.0
HomePride Bank,Mansfield,Missouri,37.1067189,-92.5807231,119866.0,0.0156,0.0,0.0125,0.0269,0.0124,0.0002,1057.0
CNB St Louis Bank,Maplewood,Missouri,38.6125521,-90.3245599,765984.0,0.0386,0.0,0.0176,0.0046,0.0052,0.0,7104.0
Regional Missouri Bank,Marceline,Missouri,39.7119703,-92.9482526,508157.0,0.0301,0.0,0.0102,0.0087,0.0015,0.0,7370.0
Community Bank of Marshall,Marshall,Missouri,39.1230777,-93.1968704,227328.0,0.0093,0.0,0.0138,0.003,0.0,-0.0002,1845.0
Wood & Huston Bank,Marshall,Missouri,39.1230777,-93.1968704,1217898.0,0.0451,267.0,0.0137,0.0025,0.0017,0.0004,12154.0
The Nodaway Valley Bank,Maryville,Missouri,40.3461017,-94.8724706,1399000.0,0.1093,185.0,0.0128,0.0009,0.0001,-0.0003,29546.0
Independent Farmers Bank,Maysville,Missouri,39.8891658,-94.3618967,154854.0,0.0256,0.0,0.0108,0.0022,0.0,0.0006,1656.0
Community Bank of Memphis,Memphis,Missouri,40.4578119,-92.1712924,50634.0,0.0095,0.0,0.0253,0.0,0.0,0.0003,431.0
UNICO Bank,Mineral Point,Missouri,37.9447722,-90.7242964,477243.0,0.0972,43.0,0.0069,0.0034,0.0081,0.0009,2635.0
Bank of Monticello,Monticello,Missouri,40.118377,-91.7121073,139381.0,-0.0202,0.0,0.0111,0.0309,0.0037,0.0002,2586.0
Montrose Savings Bank,Montrose,Missouri,38.2578023,-93.9813297,54001.0,0.0638,0.0,0.0188,0.0026,0.0001,0.0001,868.0
Legacy Bank & Trust Company,Mountain Grove,Missouri,37.1306078,-92.2634942,1687753.0,0.3783,0.0,0.0113,0.0082,0.008,0.0002,16558.0
Community Bank and Trust,Neosho,Missouri,36.8689554,-94.367996,388447.0,0.0293,0.0,0.01,0.0026,0.0006,0.0005,3908.0
Metz Banking Company,Nevada,Missouri,37.8392052,-94.3546719,98558.0,0.0624,0.0,0.0104,0.0048,0.0,0.0002,839.0
"The First National Bank of Nevada, Missouri",Nevada,Missouri,37.8392052,-94.3546719,110842.0,-0.0264,0.0,0.0202,0.0037,0.0046,0.0003,813.0
Bank of New Cambria,New Cambria,Missouri,39.7753068,-92.7504708,35216.0,-0.0009,0.0,0.0288,0.0005,0.0,-0.0002,244.0
Citizens Bank,New Haven,Missouri,38.6083822,-91.2190416,319752.0,0.0763,0.0,0.0169,0.0014,0.0003,0.0,3377.0
Bank of New Madrid,New Madrid,Missouri,36.5864488,-89.5278547,115489.0,0.0909,0.0,0.0142,0.012,0.0018,0.0001,1587.0
"Home Savings and Loan Association of Carroll County, F.A.",Norborne,Missouri,39.3025168,-93.6774377,123267.0,0.0698,0.0,0.0119,0.0163,0.0039,0.0,9.0
Bank of Odessa,Odessa,Missouri,38.9991748,-93.9535558,556082.0,0.3705,0.0,0.0136,0.0256,0.0067,0.0002,7863.0
The Bank of Old Monroe,Old Monroe,Missouri,38.9317176,-90.7467924,725767.0,0.3287,0.0,0.0143,0.0002,0.0,0.0002,15097.0
The Bank of Orrick,Orrick,Missouri,39.2127849,-94.1227232,99940.0,,0.0,0.0044,0.1055,0.0018,0.0072,1310.0
First Bank of the Lake,Osage Beach,Missouri,38.1503113,-92.6179621,972834.0,0.8892,0.0,0.0033,0.0047,0.0104,0.0005,9143.0
St. Clair County State Bank,Osceola,Missouri,38.0466967,-93.7043764,200444.0,0.0516,0.0,0.0124,0.041,0.0029,0.0003,3083.0
Ozark Bank,Ozark,Missouri,37.0208865,-93.2060163,373835.0,0.1159,0.0,0.0126,0.0,0.0,0.0,3781.0
Bank Star,Pacific,Missouri,38.4819976,-90.7415194,184584.0,0.004,0.0,0.0129,0.004,0.0,0.0001,1030.0
HomeBank,Palmyra,Missouri,39.7942118,-91.5232106,582079.0,0.1216,0.0,0.0101,0.0005,0.0004,0.0002,9158.0
TPNB Bank,Paris,Missouri,39.4808721,-92.0012811,112162.0,0.0855,0.0,0.0131,0.0082,0.0,0.0,587.0
The Bank of Missouri,Perryville,Missouri,37.7242202,-89.8612196,2920304.0,0.0659,431.0,0.0096,0.0021,0.0021,0.0017,21056.0
Citizens Community Bank,Pilot Grove,Missouri,38.874744,-92.9115825,126977.0,0.0147,0.0,0.0138,0.0107,0.0014,-0.0001,1252.0
Connections Bank,Platte City,Missouri,39.3702773,-94.7824609,482789.0,0.3935,0.0,0.0105,0.0016,0.0,0.0001,6436.0
Community Bank of Pleasant Hill,Pleasant Hill,Missouri,38.7875094,-94.2693911,136159.0,0.1448,0.0,0.0059,0.0013,0.0001,0.0042,914.0
First Midwest Bank of the Ozarks,Poplar Bluff,Missouri,36.7569994,-90.392888,728040.0,0.0067,100.0,0.0136,0.02,0.009,0.0007,12411.0
First Missouri State Bank,Poplar Bluff,Missouri,36.7569994,-90.392888,257634.0,0.1059,129.0,0.0135,0.001,0.0041,-0.0009,3383.0
Southern Bank,Poplar Bluff,Missouri,36.7569994,-90.392888,4593354.0,0.2449,3814.0,0.0134,0.0018,0.0021,0.0004,45384.0
Sterling Bank,Poplar Bluff,Missouri,36.7569994,-90.392888,1383381.0,-0.0598,35.0,0.0149,0.0004,0.0025,0.0001,22370.0
First State Bank of Purdy,Purdy,Missouri,36.8172863,-93.92076,209148.0,-0.0234,300.0,0.0111,0.013,0.0087,0.001,3053.0
Community Bank of Raymore,Raymore,Missouri,38.801953,-94.4527294,334445.0,0.0863,0.0,0.012,0.0017,0.0007,0.0049,5324.0
Great Southern Bank,Reeds Spring,Missouri,36.7497827,-93.3779641,5815659.0,0.0186,0.0,0.0139,0.0029,0.002,0.0002,74806.0
Peoples Savings Bank of Rhineland,Rhineland,Missouri,38.7175443,-91.517388,632007.0,0.0871,0.0,0.0103,0.001,0.001,0.0002,5417.0
Community Bank of Missouri,Richmond,Missouri,39.278622,-93.9768876,75378.0,-0.0649,0.0,0.0108,0.0067,0.0035,0.0,1466.0
The State Bank,Richmond,Missouri,39.278622,-93.9768876,35248.0,-0.0915,0.0,0.0236,0.0011,0.0018,0.0,321.0
Citizens Bank & Trust,Rock Port,Missouri,40.4111122,-95.5169286,122542.0,-0.0532,0.0,0.0107,0.007,0.0004,0.0001,799.0
Citizens Bank of Rogersville,Rogersville,Missouri,37.116995,-93.0557343,125227.0,0.0187,0.0,0.0105,0.0064,0.0013,0.0047,784.0
Citizens Bank of the Midwest,Rolla,Missouri,37.948544,-91.7715303,211092.0,0.1456,3031.0,0.0142,0.0053,0.0161,0.0003,1586.0
Phelps County Bank,Rolla,Missouri,37.948544,-91.7715303,484081.0,0.2112,0.0,0.0107,0.0027,0.0017,0.0,8018.0
Preferred Bank,Rothville,Missouri,39.653358,-93.0640887,135554.0,0.0247,0.0,0.0091,0.0058,0.0001,0.0009,1339.0
Community Point Bank,Russellville,Missouri,38.511696,-92.4401869,173128.0,0.1241,0.0,0.012,0.0042,0.0051,0.0002,1876.0
NEW FRONTIER BANK,Saint Charles,Missouri,38.7881062,-90.4974359,146821.0,0.0294,0.0,0.0112,0.0,0.0,0.0002,1467.0
Farmers and Merchants Bank of St. Clair,Saint Clair,Missouri,38.3475584,-90.9834027,335099.0,0.0357,0.0,0.0115,0.0002,0.0014,0.0022,2908.0
Commercial Bank,Saint Louis,Missouri,38.6270025,-90.1994042,286608.0,0.037,0.0,0.0122,0.0014,0.0029,0.0003,494.0
St. Johns Bank and Trust Company,Saint Louis,Missouri,38.6270025,-90.1994042,337874.0,0.0523,0.0,0.0144,0.0,0.0028,0.0001,3958.0
St. Louis Bank,Saint Louis,Missouri,38.6270025,-90.1994042,949779.0,0.0819,6529.0,0.0136,0.0012,0.0113,-0.0001,2898.0
Stifel Bank and Trust,Saint Louis,Missouri,38.6270025,-90.1994042,16773574.0,-0.2511,0.0,0.0083,0.0013,0.0027,0.0006,524424.0
1st Advantage Bank,Saint Peters,Missouri,38.7874699,-90.6298922,152151.0,0.0317,0.0,0.0125,0.0001,0.0,0.0,1780.0
Security Bank of Pulaski County,Saint Robert,Missouri,37.8280961,-92.1776664,144990.0,0.0877,2023.0,0.0123,0.0156,0.0165,0.0004,681.0
MRV Banks,Sainte Genevieve,Missouri,37.9786618,-90.0475582,733191.0,0.0332,0.0,0.0189,0.0027,0.0005,-0.0001,16145.0
Bank of Salem,Salem,Missouri,37.6455993,-91.5359808,144294.0,0.1859,0.0,0.0074,0.0037,0.0051,0.0002,571.0
Progressive Ozark Bank,Salem,Missouri,37.6455993,-91.5359808,166348.0,0.0417,0.0,0.009,0.0036,0.0013,0.0008,2842.0
Town & Country Bank,Salem,Missouri,37.6455993,-91.5359808,665557.0,0.0487,15.0,0.013,0.0037,0.0015,0.0004,10392.0
Senath State Bank,Senath,Missouri,36.1342336,-90.1598183,108603.0,0.1016,0.0,0.014,0.0423,0.0012,0.0,1962.0
People's Bank of Seneca,Seneca,Missouri,36.8414565,-94.6110574,427842.0,0.1266,0.0,0.0127,0.0038,0.0034,0.0001,6733.0
The Seymour Bank,Seymour,Missouri,37.1464398,-92.7687818,222777.0,0.1047,0.0,0.0131,0.0156,0.0,0.0001,933.0
Community State Bank,Shelbina,Missouri,39.6939275,-92.0429502,109322.0,0.0538,81.0,0.0124,0.0238,0.0018,0.0018,1185.0
Montgomery Bank,Sikeston,Missouri,36.876719,-89.5878579,1322032.0,0.0873,170.0,0.0093,0.0056,0.0004,0.0,10022.0
Silex Banking Company,Silex,Missouri,39.1233792,-91.0543076,88519.0,0.1069,0.0,0.0093,0.0005,0.0,0.0,890.0
The Corner Stone Bank,South West City,Missouri,36.5231977,-94.6114667,179557.0,0.1054,50.0,0.0167,0.0365,0.0126,0.0023,1534.0
Guaranty Bank,Springfield,Missouri,37.2089572,-93.2922989,2279684.0,0.0526,535.0,0.0118,0.0004,0.0036,0.0002,25281.0
Mid-Missouri Bank,Springfield,Missouri,37.2089572,-93.2922989,915728.0,0.0638,0.0,0.0108,0.0007,0.0005,-0.0003,11023.0
Oakstar Bank,Springfield,Missouri,37.2089572,-93.2922989,2291282.0,0.1533,440.0,0.0126,0.0024,0.0054,0.001,13624.0
Omb Bank,Springfield,Missouri,37.2089572,-93.2922989,1511465.0,0.2359,0.0,0.0123,0.0056,0.0044,0.0002,15515.0
State Bank of Southwest Missouri,Springfield,Missouri,37.2089572,-93.2922989,156903.0,0.0966,0.0,0.0066,0.0003,0.0,0.0002,938.0
Systematic Savings Bank,Springfield,Missouri,37.2089572,-93.2922989,64627.0,0.1757,0.0,0.0097,0.0051,0.0002,0.0,465.0
"First State Bank of St. Charles, Missouri",St. Charles,Missouri,38.7881062,-90.4974359,547893.0,0.0196,0.0,0.0147,0.0077,0.0032,-0.0001,5891.0
Lindell Bank & Trust Company,St. Louis,Missouri,38.6270025,-90.1994042,869294.0,0.1268,0.0,0.0335,0.0013,0.0019,0.0003,14978.0
Stifel Bank,St. Louis,Missouri,38.6270025,-90.1994042,11965308.0,0.7198,0.0,0.0036,0.0,0.0,0.0,91647.0
FCNB Bank,Steelville,Missouri,37.9680999,-91.354868,199093.0,0.1594,554.0,0.0122,0.0,0.0047,-0.0007,671.0
SULLIVAN BANK,Sullivan,Missouri,38.2081045,-91.1604207,989522.0,0.0793,3031.0,0.012,0.0162,0.0058,0.002,12127.0
"The Tipton Latham Bank, National Association",Tipton,Missouri,38.655578,-92.7799153,166644.0,0.0677,0.0,0.0141,0.0079,0.0016,0.0002,1498.0
Peoples Bank & Trust Co.,Troy,Missouri,38.9794922,-90.9806954,805690.0,0.0486,0.0,0.012,0.0026,0.0003,-0.0002,10800.0
Heritage Community Bank,Union,Missouri,38.4500517,-91.0084762,252871.0,0.1417,44.0,0.012,0.0016,0.0014,0.0,2084.0
United Bank of Union,Union,Missouri,38.4500517,-91.0084762,560325.0,0.1893,0.0,0.0144,0.0269,0.0081,0.0025,5999.0
First Security Bank,Union Star,Missouri,39.9807543,-94.598839,53503.0,0.0427,0.0,0.0146,0.0073,0.0012,0.002,458.0
Farmers Bank of Northern Missouri,Unionville,Missouri,40.4769606,-93.0032614,510084.0,0.0527,10.0,0.0149,0.0069,0.0017,-0.0014,5595.0
Putnam County State Bank,Unionville,Missouri,40.4769606,-93.0032614,267152.0,0.0697,0.0,0.0129,0.009,0.0038,-0.0002,4679.0
Royal Banks of Missouri,University City,Missouri,38.6682407,-90.3324856,1043886.0,0.0382,14106.0,0.0073,0.0001,0.0173,0.0,8962.0
The Bank of Versailles,Versailles,Missouri,38.4314141,-92.8410274,326895.0,0.0453,0.0,0.0138,0.0001,0.0003,0.0,4340.0
The Maries County Bank,Vienna,Missouri,38.1867085,-91.947112,584848.0,0.0457,250.0,0.0156,0.0175,0.0019,0.0014,2987.0
The Missouri Bank,Warrenton,Missouri,38.8211845,-91.1391977,429704.0,0.0918,54.0,0.0128,0.0044,0.0006,0.0001,4960.0
Bank of Franklin County,Washington,Missouri,38.5581072,-91.0120878,392373.0,0.0819,1125.0,0.0113,0.0012,0.0031,0.0001,1507.0
Bank of Washington,Washington,Missouri,38.5581072,-91.0120878,1101979.0,0.1225,12658.0,0.0153,0.0005,0.0291,0.0034,23536.0
Bank of Crocker,Waynesville,Missouri,37.8286516,-92.2007227,144992.0,-0.0008,0.0,0.015,0.0073,0.0059,0.0036,1301.0
American Bank Of Freedom,Wellsville,Missouri,39.0719844,-91.5701623,880601.0,0.1653,0.0,0.0123,0.0005,0.0003,0.0004,5581.0
Community First Banking Company,West Plains,Missouri,36.7281154,-91.8523711,258646.0,0.0656,0.0,0.0099,0.0016,0.0,0.0002,2883.0
West Plains Bank and Trust Company,West Plains,Missouri,36.7281154,-91.8523711,640018.0,0.0934,0.0,0.0085,0.0076,0.0039,0.0006,6536.0
West Plains Savings and Loan Association,West Plains,Missouri,36.7281154,-91.8523711,93085.0,0.0387,0.0,0.0122,0.0642,0.024,0.0034,162.0
Bank of Weston,Weston,Missouri,39.4111092,-94.9016298,198790.0,0.0561,0.0,0.0117,0.0024,0.0005,-0.0005,2911.0
FMB Bank,Wright City,Missouri,38.8275491,-91.0201422,44926.0,-0.0438,0.0,0.015,0.0025,0.0,-0.0003,172.0
,,,,,,,,,,,,
,,,,,,,,,,,,
Average,,,,,1209090.3512195123,0.08907401960784316,404.18536585365854,0.012672195121951219,0.007805365853658536,0.0038092682926829263,0.0006853658536585369,15131.160975609757
Median,,,,,260069.0,0.0683,0.0,0.0123,0.0037,0.0018,0.0002,2987.0
,,,,,,,,,,,,
Under $250 Mil,96,,,,132751.375,0.06860421052631578,102.04166666666667,0.013006249999999997,0.011027083333333333,0.004264583333333334,0.0006666666666666666,1389.7916666666667
$250-$500 Mil,44,,,,350618.0681818182,0.09427272727272727,42.88636363636363,0.012297727272727276,0.0036613636363636358,0.0024454545454545454,0.0004136363636363636,4654.318181818182
$500 Mil - $1 Bil,36,,,,754396.9722222222,0.1307972222222222,391.77777777777777,0.01305277777777778,0.008038888888888889,0.003805555555555555,0.001063888888888889,9600.5
Over $1 Bil,29,,,,6639100.137931035,0.09644827586206896,1967.9655172413793,0.01166206896551724,0.0031379310344827587,0.004375862068965518,0.0006896551724137932,83381.37931034483
